research_dimension,dataset_or_measure,coverage,status,main_use,remaining_limit
政策导向,省级政府工作报告政策注意力,"31省,2003-2023,651份报告",已补齐,全国政策议程与路径依赖的可比面板,"仅为年度政府工作报告,不等于全口径政策文件或政策支持强度"
两类能源存量与增量,GEM煤电风电光伏项目生命周期,"31省,2000-2023重建;2026数据库回溯",已补齐,年度投产退役存量与项目路径惯性,"回溯数据库而非逐年历史版本;早期缺失使重建存量为下限"
领导班子与政策惯性,省级党委政府一把手更替,"31省,2000-2018",部分补齐,检验更替是否打断政策注意力,"公开数据库漏掉已知2019年变动,故2019-2023留空;更替非外生"
电力消纳,可再生能源消费占比及非水占比,"31省,2015-2023",已补齐,实际消纳结果变量,"时间窗口较短"
电网运行,弃风弃光率及利用小时,"部分省年,主要为2010年代后",部分补齐,消纳约束与运行效率,"缺全国连续的跨省输电容量和绿电外送"
产出稳定性,分能源月度发电波动,"火电2000-2023;风光主要2013年后",已补齐,比较煤电和风光的月内波动,"尚未与分省月度工业产出形成完整联动"
地方经济稳定性,分省月度工业增加值或工业用电,"国家数据有指标入口",未取得,检验火电稳定产出是否平滑地方经济,"国家统计局接口受限;CEIC等商业库可能可取"
清洁能源经济贡献,风光增加值税收就业,"无全国长面板",未补齐,比较清洁和非清洁能源对地方目标函数的贡献,"宽口径公用事业就业无法拆分风光;省级产业产值多为个案口径"
非清洁能源经济贡献,采矿就业资源税采矿资产,"31省,年份因指标而异",已有代理,资源财政就业和资产锁定,"仍缺煤电与煤炭产业对GDP和财政的统一直接贡献"
跨省电力通道,外送电量输电容量绿电交易,"仅有近似外送比和案例材料",未补齐,识别资源禀赋兑现为本地消纳或外送,"全国长面板口径不连续"
